campo,tabela,tipo,pct_fill,distinct_count,cardinalidade,exemplos,observacao
user_pseudo_id,analytics_414017556.events_*,STRING,100.0,8231 (21 dias),MANY:1 por sessao,"3695483f1a1e2e78.1","Anonimo - nao persiste cross-device"
transaction_id,analytics_414017556.events_* (purchase),STRING,100.0,242 (21 dias),1:1 com pedido,"24137;24128;24141","Presente apenas no evento purchase. Ausente em 79.5% dos pedidos Bling"
traffic_source.source,analytics_414017556.events_*,STRING,99.7,33,MANY:1,"google;ig;(direct);facebook.com",""
traffic_source.medium,analytics_414017556.events_*,STRING,99.7,16,MANY:1,"cpc;paid;organic;referral",""
traffic_source.name,analytics_414017556.events_*,STRING,varia,varia,MANY:1,"pmax_roas_formula-exclusiva;120209681087360703","Campaign name - last non-direct click"
token,checkout,STRING,100.0,2568,1:1 (PK unico por carrinho),"abc123xyz","Bridge com nuvemshop_pedidos.token - 12.5% converte"
contact_email,checkout,STRING,100.0,2294,MANY:1 (multiplos carrinhos por email),"user@email.com","100% preenchido - chave de identidade mais confiavel"
store_id,checkout,INT64,100.0,1 (2537710),1:1 (loja unica Nuvemshop),"2537710","Sempre 1 valor - loja do site proprio"
contact_identification,checkout,STRING,100.0,2278,1:1 (CPF/CNPJ),"","100% preenchido"
token,nuvemshop_pedidos,STRING,100.0,19917,1:1 (PK),,"Bridge com checkout.token - apenas 320 matches (12.5%)"
customer_id,nuvemshop_pedidos,INT64,100.0,16882,MANY:1,"","Chave do cliente Nuvemshop - nao existe em Bling"
contact_email,nuvemshop_pedidos,STRING,100.0,16905,MANY:1,"","100% preenchido - bridge com contato.email"
contact_identification (CPF),nuvemshop_pedidos,STRING,100.0,16774,1:1,"","100% preenchido - bridge com contato.numero_documento"
store_id,nuvemshop_pedidos,INT64,100.0,1,1:1,"2537710","Bridge com pedidos_vendas.loja_id (loja Site Aroom)"
payment_status,nuvemshop_pedidos,STRING,100.0,5,ENUM,"paid(93.6%);pending(4.7%);voided(1.1%);refunded(0.5%)","fulfillment_status 0% preenchido - campo vazio"
fulfillment_status,nuvemshop_pedidos,STRING,0.0,0,NULL,,CRITICO: campo completamente vazio - sem rastreio de entrega no backend
numero,pedidos_vendas,INT64,100.0,112688,1:1 (numero de pedido),"24137","transactionId GA4 = numero Bling. Mas 17468 duplicatas em numero (pedidos com mesmo numero)"
loja_id,pedidos_vendas,INT64,100.0,48,MANY:1,"205519093","48 canais de venda mapeados"
contato_id,pedidos_vendas,INT64,100.0,117131,MANY:1,"35738","CRITICO: schema incompativel com contato.identificador (INT64 longo 18215784661). Join nao funciona."
nota_fiscal_id,pedidos_vendas,INT64,100.0,92501,1:1,"","130124 de 130137 tem nota_fiscal_id preenchido (99.99%)"
numero_pedido_compra,pedidos_vendas,STRING,0.2,288,1:1,"","Apenas 287 registros - ID do marketplace. Nao usavel para join em escala"
codigo,pedidos_vendas_itens,STRING,varia,varia,MANY:1,"5503full;0034","510 SKUs sem cadastro em produtos"
produto_id,pedidos_vendas_itens,INT64,100.0,varia,MANY:1,"","FK para produtos.identificador - mais confiavel que codigo"
email,contato,STRING,64.7,75126,1:1 (esperado),"user@email.com","35.3% sem email (42.588 clientes) - perda de identidade digital"
numero_documento (CPF),contato,STRING,95.0,111055,1:1,"","5% sem CPF (6.068 clientes)"
telefone,contato,STRING,33.8,37276,1:1,"","66.2% sem telefone"
identificador,contato,INT64,100.0,120479,PK,"18215784661","INT64 longo - INCOMPATIVEL com pedidos_vendas.contato_id (INT pequeno)"
codigo,produtos,STRING,48.3,2356,1:1 (SKU),"0034;5503full","51.7% dos produtos sem codigo SKU - apenas identificador numerico"
situacao,produtos,STRING,100.0,3,ENUM,"A;I;E","A=Ativo(1730) I=Inativo E=Excluido"
numero,notas_fiscais_saida,STRING,100.0,73286,1:1,"NF-e 000001","73.286 NFs para 130.135 pedidos (56.3% cobertura)"
chave_acesso,notas_fiscais_saida,STRING,100.0,73286,1:1,"44 digitos","Chave NFe unica - 100% preenchida quando NF existe"
contact_email,perfit_campaign_actions,STRING,100.0,6656,MANY:1,"user@email.com","297.434 eventos. 75% match com contato.email"
action_type,perfit_campaign_actions,STRING,100.0,7,ENUM,"SENT(56.9%);OPEN(40.7%);CLICK(1.9%);UNSUBSCRIBE(0.4%);HARD_BOUNCE(0.1%)",""
contact_id,dispatch_send_log,INT64,100.0,15941,MANY:1,"35738","FK direta para contato.identificador (INT pequeno) - 100% preenchido"
rule_tag,dispatch_send_log,STRING,100.0,4,ENUM,"aniversario;sinto_sua_falta;sinto_sua_falta_2;produto_acabando_cliente","4 automacoes ativas"
